Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
DR073,"Daun singkong ampenan, segar (Casava, ampenan, leaf, fresh)",Manihot esculenta,,Sayuran,Mentah (Raw),,: 84.4 g,: 50 Kal,: 6.2 g,: 1.1 g,: 7.1 g,: 1.2 g,: 352 mg,: 123 mg,: 2.7 mg,: 49 mg,: 570.0 mg,: 0.20 mg,: 1.3 mg,: 0.10 mg,: 1.6 mg,: 2.4 g,,": 7,917 mcg",,: 0.50 mg,: 103 mg
DR074,"Daun singkong kopang, segar (Casava, kopang, leaf, fresh)",Manihot esculenta,,Sayuran,Mentah (Raw),,: 81.1 g,: 74 Kal,: 6.3 g,: 0.7 g,: 10.7 g,: 1.2 g,: 142 mg,: 115 mg,: 1.7 mg,: 32 mg,: 382.0 mg,: 0.20 mg,: 1.5 mg,: 0.50 mg,: 1.9 mg,: 4.6 g,,": 3,882 mcg",,: 0.50 mg,: 211 mg
DP008,"Daun singkong, rebus",,,Sayuran,Olahan (Processed),,: 90.5 g,: 31 Kal,: 3.7 g,: 0.6 g,: 4.8 g,: 0.4 g,: 160 mg,: 50 mg,: 2.6 mg,: 13 mg,: 14.0 mg,: 0.10 mg,: 2.0 mg,: 0.10 mg,: 1.7 mg,: 1.6 g,,": 3,897 mcg",": 4,150 mcg",: 0.02 mg,: 34 mg
DR071,"Daun singkong, segar (Casava, leaf, fresh)",Manihot esculenta,,Sayuran,Mentah (Raw),,: 84.4 g,: 50 Kal,: 6.2 g,: 1.1 g,: 7.1 g,: 1.2 g,: 166 mg,: 99 mg,: 1.3 mg,: 17 mg,: 23.1 mg,: 0.10 mg,: 2.0 mg,: 0.10 mg,: 1.8 mg,: 2.4 g,: 0 mcg,": 3,204 mcg",": 7,052 mcg",: 0.04 mg,: 103 mg
DR075,"Daun sintrong, segar",Erechtites valerianaefolia,,Sayuran,Mentah (Raw),,: 88.5 g,: 36 Kal,: 2.6 g,: 0.9 g,: 6.1 g,: 1.9 g,: 398 mg,: 95 mg,: 9.3 mg,: 64 mg,: 444.4 mg,: 0.10 mg,: 0.4 mg,: 0.20 mg,: 0.9 mg,: 1.7 g,: 0 mcg,": 10,178 mcg",": 8,868 mcg",: 0.03 mg,: 3 mg
DP009,"Daun talas, rebus",,,Sayuran,Olahan (Processed),,: 91.6 g,: 27 Kal,: 1.3 g,: 0.2 g,: 5.9 g,: 1.0 g,: 119 mg,: 41 mg,: 1.4 mg,: 3 mg,: 519.4 mg,: 0.50 mg,: 0.5 mg,: 0.60 mg,: 1.9 mg,: 1.6 g,: 0 mcg,": 4,641 mcg",": 2,682 mcg",: 0.00 mg,: 7 mg
DR076,"Daun talas, segar (Taro, leaf, fresh)",Colocasia esculenta,,Sayuran,Mentah (Raw),,: 81.1 g,: 59 Kal,: 3.0 g,: 0.4 g,: 13.5 g,: 2.0 g,: 236 mg,: 50 mg,: 2.4 mg,: 4 mg,: 854.1 mg,: 0.40 mg,: 0.5 mg,: 0.60 mg,: 2.0 mg,: 3.0 g,: 0 mcg,": 3,816 mcg",": 5,740 mcg",: 0.07 mg,: 24 mg
DR077,"Daun tespong, segar (Water dropwort, fresh)",Oenanthe javanica,,Sayuran,Mentah (Raw),,: 81.0 g,: 70 Kal,: 2.9 g,: 0.3 g,: 13.9 g,: 1.9 g,: 155 mg,: 65 mg,: 2.5 mg,: 72 mg,,: 0.15 mg,: 0.9 mg,: 0.70 mg,: 1.4 mg,: 2.3 g,,: 171 mcg,": 2,500 mcg",: 0.05 mg,: 21 mg
DR078,"Daun ubi kuning, segar (Sweet potato, yeallowish, leaf, fresh)",Ipomoea batatas,,Sayuran,Mentah (Raw),,: 83.5 g,: 62 Kal,: 3.7 g,: 0.3 g,: 11.1 g,: 1.4 g,: 170 mg,: 40 mg,: 0.6 mg,: 10 mg,: 0.0 mg,: 0.20 mg,: 0.5 mg,: 0.30 mg,: 1.2 mg,: 6.4 g,,": 3,564 mcg",,: 0.30 mg,: 4 mg
DP010,"Daun ubi merah, kukus",,,Sayuran,Olahan (Processed),,: 82.5 g,: 56 Kal,: 3.1 g,: 0.3 g,: 13.0 g,: 1.1 g,: 78 mg,: 52 mg,: 4.3 mg,: 28 mg,: 472.8 mg,: 0.10 mg,: 0.4 mg,: 0.20 mg,: 1.1 mg,: 1.5 g,,": 5,277 mcg",": 5,397 mcg",: 0.00 mg,: 14 mg
DR079,"Daun ubi merah, segar (Sweet potato, redish, leaf, freah)",Ipomoea batatas,,Sayuran,Mentah (Raw),,: 84.4 g,: 48 Kal,: 3.0 g,: 0.3 g,: 10.8 g,: 1.5 g,: 80 mg,: 81 mg,: 6.4 mg,: 33 mg,: 517.3 mg,: 0.00 mg,: 0.4 mg,: 0.20 mg,: 1.2 mg,: 1.4 g,: 0 mcg,": 5,453 mcg",": 4,697 mcg",: 0.10 mg,: 27 mg
DR080,"Daun ubi putih, segar (Sweet potato, whitish, leaf, fresh)",Ipomoea batatas,,Sayuran,Mentah (Raw),,: 87.5 g,: 46 Kal,: 2.8 g,: 0.2 g,: 8.2 g,: 1.3 g,: 120 mg,: 50 mg,: 0.8 mg,: 10 mg,: 0.0 mg,: 0.20 mg,: 0.5 mg,: 0.30 mg,: 0.9 mg,: 4.8 g,,: 103 mcg,,: 0.30 mg,: 8 mg
DR081,"Daun ubi tinta, segar (Sweet potato, purpleish, leaf, fresh)",Ipomoea batatas,,Sayuran,Mentah (Raw),,: 85.1 g,: 55 Kal,: 1.7 g,: 0.1 g,: 11.9 g,: 1.2 g,: 120 mg,: 40 mg,: 0.6 mg,: 10 mg,: 0.0 mg,: 0.20 mg,: 0.5 mg,: 0.00 mg,: 0.0 mg,: 7.6 g,,: 516 mcg,,: 0.20 mg,: 7 mg
GP059,"Dendeng belut, goreng, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 8.2 g,: 382 Kal,: 55.7 g,: 14.1 g,: 8.0 g,: 14.0 g,": 1,069 mg",: 654 mg,: 15.4 mg,,,,,,,: 0.0 g,: 28 mcg,,": 1,480 mcg",: 0.48 mg,: 0 mg
GP060,"Dendeng mujahir, goreng, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 6.5 g,: 598 Kal,: 74.3 g,: 26.9 g,: 9.2 g,: 13.1 g,": 1,957 mg",": 1,447 mg",: 7.4 mg,,,,,,,: 0.0 g,: 18 mcg,,: 25 mcg,: 0.19 mg,: 0 mg
FP045,"Djibokum, masakan",,Korea,Daging,Olahan (Processed),Ji-Bo-Kum. Gurita/seafood goreng pedas dengan sayuran.,: 43.4 g,: 248 Kal,: 10.0 g,: 2.3 g,: 40.9 g,: 3.4 g,: 116 mg,: 110 mg,: 2.8 mg,: 401 mg,,,,,,: 0.1 g,: 52 mcg,,": 1,920 mcg",: 0.75 mg,: 0 mg
AP043,Dodol bali,,Bali,Serealia,Olahan (Processed),"Bahan dasar terdir dari tepung beras ketan, kacang tanah, gula merah, gula pasir, santan, dengan kemasan daun jagung",: 26.5 g,: 298 Kal,: 3.7 g,: 2.1 g,: 65.9 g,: 1.8 g,: 70 mg,: 76 mg,: 2.5 mg,,,,,,: 2.5 mg,: 0.4 g,: 0 mcg,: 0 mcg,: 496 mcg,: 0.28 mg,: 0 mg
CP023,Dodol banjarmasin,,Banjarmasin,Kacang-Kacangan,Olahan (Processed),"Nama lainnya adalah Dodol kandangan. Bahan dasar terdiri dari Gula pasir, agar-agar, susu kental manis, santan, kacang tanah",: 17.3 g,: 368 Kal,: 2.6 g,: 8.6 g,: 70.0 g,: 1.5 g,: 51 mg,: 180 mg,: 3.3 mg,: 48 mg,: 96.0 mg,: 0.40 mg,: 2.6 mg,: 0.07 mg,: 2.3 mg,: 0.5 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.04 mg,: 0 mg
AP044,Dodol galamai,,Sumatera Barat,Serealia,Olahan (Processed),"Bahan dasar terdiri dari Tepung beras ketan, gula, dan santan",: 16.5 g,: 348 Kal,: 0.4 g,: 3.8 g,: 76.1 g,: 1.2 g,: 41 mg,: 144 mg,: 2.6 mg,: 38 mg,: 76.0 mg,: 0.30 mg,: 2.1 mg,: 0.06 mg,: 1.8 mg,: 0.5 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.03 mg,: 0 mg
AP045,Dodol kedondong,,,Serealia,Olahan (Processed),"Bahan dasar terdiri dari Tepung beras ketan, gula , santan, kedondong",: 26.4 g,: 331 Kal,: 1.9 g,: 7.6 g,: 63.8 g,: 0.4 g,: 90 mg,: 55 mg,: 2.3 mg,,,,,,: 0.8 mg,: 1.0 g,: 0 mcg,,: 408 mcg,: 0.11 mg,: 5 mg
AP046,Dodol manado,,Manado,Serealia,Olahan (Processed),"Nama lainnya adalah Dodol amuran. Bahan dasar terdiri dari Tepung ketan putih, gula, santan, kenari atau kacang lainnya",: 26.1 g,: 373 Kal,: 4.3 g,: 16.5 g,: 51.9 g,: 1.2 g,: 41 mg,: 142 mg,: 2.4 mg,: 35 mg,: 72.0 mg,: 0.30 mg,: 2.1 mg,: 0.06 mg,: 2.1 mg,: 0.4 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.04 mg,: 0 mg
EP002,Dodol nanas,,,Buah,Olahan (Processed),,: 16.1 g,: 338 Kal,: 1.5 g,: 1.2 g,: 80.3 g,: 0.9 g,,,,,,,,,,,,,,: 0.30 mg,: 8 mg
FR016,"Domba, daging, gemuk, segar (Lamb, meat, high fat, fresh)",Ovis aries,,Daging,Mentah (Raw),,: 55.8 g,: 317 Kal,: 15.7 g,: 27.7 g,: 0.0 g,: 0.8 g,: 9 mg,: 157 mg,: 2.4 mg,: 64 mg,: 242.1 mg,: 0.11 mg,: 3.7 mg,: 0.23 mg,: 6.5 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.14 mg,: 0 mg
FR017,"Domba, daging, kurus,  segar (Lamb, meat, low fat, fresh)",Ovis aries,,Daging,Mentah (Raw),,: 66.3 g,: 202 Kal,: 17.1 g,: 14.8 g,: 0.0 g,: 1.8 g,: 10 mg,: 191 mg,: 2.6 mg,: 90 mg,: 355.0 mg,: 0.08 mg,: 2.8 mg,: 0.26 mg,: 5.7 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.15 mg,: 0 mg
FR018,"Domba, ginjal, segar (Kidney, lamb, fresh)",Ovis aries,,Daging,Mentah (Raw),,: 77.8 g,: 100 Kal,: 16.6 g,: 3.3 g,: 1.0 g,: 1.3 g,: 13 mg,: 237 mg,: 9.2 mg,: 155 mg,: 276.0 mg,: 0.48 mg,: 2.4 mg,: 2.35 mg,: 7.5 mg,: 0.0 g,: 348 mcg,: 515 mcg,,: 0.51 mg,: 13 mg
ER022,"Duku, segar",,,Buah,Mentah (Raw),,: 82.0 g,: 63 Kal,: 1.0 g,: 0.2 g,: 16.1 g,: 0.7 g,: 18 mg,: 9 mg,: 0.9 mg,: 2 mg,: 149.0 mg,: 0.09 mg,: 0.2 mg,: 0.15 mg,: 1.5 mg,: 4.3 g,,: 0 mcg,: 0 mcg,: 0.05 mg,: 9 mg
ER023,"Durian, segar (Durian, fresh)",Durio zibethinus,,Buah,Mentah (Raw),,: 65.0 g,: 134 Kal,: 2.5 g,: 3.0 g,: 28.0 g,: 8.0 g,: 7 mg,: 44 mg,: 1.3 mg,: 1 mg,: 601.0 mg,: 0.12 mg,: 0.3 mg,: 0.19 mg,: 136.5 mg,: 3.5 g,,: 146 mcg,: 175 mcg,: 0.10 mg,: 53 mg
ER024,"Duwet, segar (Jambolan, fresh)",Syzygium cumini,,Buah,Mentah (Raw),,: 80.2 g,: 80 Kal,: 0.5 g,: 0.6 g,: 18.2 g,: 0.5 g,: 33 mg,: 138 mg,: 1.3 mg,: 16 mg,: 92.7 mg,: 191.28 mg,: 0.3 mg,: 0.01 mg,: 2.5 mg,: 0.9 g,: 0 mcg,: 329 mcg,: 0 mcg,: 0.02 mg,: 130 mg
DR082,"Eceng, segar",Limnocharis flava,,Sayuran,Mentah (Raw),,: 93.0 g,: 19 Kal,: 1.0 g,: 0.2 g,: 3.8 g,: 2.0 g,: 80 mg,: 45 mg,: 3.7 mg,: 45 mg,: 634.1 mg,,,: 0.10 mg,: 0.7 mg,: 1.8 g,,: 7 mcg,": 1,000 mcg",: 0.08 mg,: 50 mg
ER025,"Embacang, segar (Kuwini, fresh)",Mangifera odorata,,Buah,Mentah (Raw),,: 72.5 g,: 98 Kal,: 1.4 g,: 0.2 g,: 25.4 g,: 0.5 g,: 21 mg,: 15 mg,: 0.5 mg,: 3 mg,: 250.9 mg,: 0.13 mg,: 0.1 mg,: 0.09 mg,: 0.7 mg,: 1.9 g,,": 2,533 mcg",": 1,218 mcg",: 0.03 mg,: 56 mg
FP046,"Empal (daging) Goreng, masakan",,,Daging,Olahan (Processed),,: 43.9 g,: 248 Kal,: 36.2 g,: 6.9 g,: 10.1 g,: 2.0 g,: 131 mg,: 235 mg,: 6.4 mg,: 848 mg,,,,,,,: 112 mcg,,: 620 mcg,: 0.55 mg,: 0 mg
CP024,Emping (kerupuk melinjo),,,Kacang-Kacangan,Olahan (Processed),"Bahan dasar terdiri dari biji melinjo dihaluskan, dicetak, dijemur dan digoreng",: 13.0 g,: 345 Kal,: 12.0 g,: 1.5 g,: 71.5 g,: 28.0 g,: 100 mg,: 400 mg,: 5.0 mg,,,,,,,,,,,: 0.20 mg,: 0 mg
AP047,Emping beras,,Ketapang,Serealia,Olahan (Processed),Beras disangrai kemudian ditumbuk dengan alu di dalam lesung kayu. Makanan ini dihidangkan dengan cara digoreng dicampur kelapa dan gula merah,: 13.6 g,: 403 Kal,: 10.6 g,: 2.2 g,: 85.3 g,: 1.9 g,: 11 mg,: 240 mg,: 0.3 mg,: 1 mg,: 113.0 mg,: 0.30 mg,: 2.4 mg,: 0.16 mg,,: 0.2 g,,,: 0 mcg,: 0.00 mg,: 0 mg
CP025,Emping komak,,Lombok,Kacang-Kacangan,Olahan (Processed),Seperti emping melinjo namun berbahan dasar kacang komak. Khas lombok.,: 14.2 g,: 355 Kal,: 17.8 g,: 4.6 g,: 60.7 g,: 2.7 g,: 87 mg,: 304 mg,: 4.3 mg,: 24 mg,": 1,233.0 mg",: 1.00 mg,: 2.3 mg,,: 0.6 mg,,,: 0 mcg,,,
ER026,"Encung asam, segar (Tamarillo, fresh)",Solanum involucatrum,,Buah,Mentah (Raw),,: 73.0 g,: 122 Kal,: 3.5 g,: 4.5 g,: 17.5 g,: 1.5 g,: 63 mg,: 69 mg,: 3.2 mg,,,,,,,: 9.3 g,: 0 mcg,,": 2,357 mcg",: 0.02 mg,: 0 mg
CP026,Enting-enting gepuk hello kity,,,Kacang-Kacangan,Olahan (Processed),"Kacang tanah yang telah dipanaskan dalam cairan gula kental, digepuk di atas landasan batu. Berbentuk empat persegi panjang setebal 15 cm",: 2.4 g,: 538 Kal,: 13.6 g,: 30.3 g,: 52.6 g,: 1.0 g,: 81 mg,: 248 mg,: 1.6 mg,,,,,,,: 0.2 g,: 0 mcg,,: 202 mcg,: 1.00 mg,: 0 mg
CP027,Enting-enting gepuk kacang tanah,,Salatiga,Kacang-Kacangan,Olahan (Processed),,: 4.2 g,: 524 Kal,: 13.3 g,: 29.2 g,: 52.0 g,: 1.4 g,: 76 mg,: 248 mg,: 1.4 mg,,,,,,,: 0.2 g,: 0 mcg,,: 272 mcg,: 0.62 mg,: 0 mg
CP028,Enting-enting wijen,,,Kacang-Kacangan,Olahan (Processed),,: 3.7 g,: 565 Kal,: 18.2 g,: 38.4 g,: 36.8 g,: 3.0 g,: 251 mg,: 502 mg,: 10.9 mg,,,,,,,: 1.9 g,: 0 mcg,,: 240 mcg,: 0.92 mg,: 0 mg
ER027,"Erbis, segar (Passion-fruit (granadilla), fresh)",Passiflora quadrangularis,,Buah,Mentah (Raw),,: 80.0 g,: 70 Kal,: 0.6 g,: 0.0 g,: 18.9 g,: 0.5 g,: 11 mg,: 50 mg,: 1.1 mg,: 21 mg,: 257.1 mg,: 0.06 mg,: 0.1 mg,: 0.10 mg,: 1.1 mg,: 7.7 g,,: 549 mcg,: 10 mcg,: 0.00 mg,: 16 mg
JP001,Es krim,,,Susu,Olahan (Processed),,: 62.1 g,: 210 Kal,: 4.0 g,: 12.5 g,: 20.6 g,: 0.8 g,: 123 mg,: 99 mg,: 0.1 mg,: 78 mg,: 193.4 mg,: 0.00 mg,: 0.7 mg,: 0.23 mg,: 0.1 mg,: 0.0 g,: 158 mcg,: 0 mcg,,: 0.04 mg,: 1 mg
GP061,Fillet o-fish,,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 51.0 g,: 270 Kal,: 12.3 g,: 15.9 g,: 19.3 g,: 1.5 g,: 239 mg,: 272 mg,: 1.8 mg,: 439 mg,,,,,,: 0.2 g,: 34 mcg,,: 580 mcg,: 0.59 mg,: 0 mg
BR007,"Gadeng/Gadung, kering (Asiatic bitter yam, fresh)",Dioscorea hispida,,Umbi Berpati,Mentah (Raw),,: 20.2 g,: 322 Kal,: 2.4 g,: 0.6 g,: 76.6 g,: 0.2 g,: 39 mg,: 22 mg,: 2.2 mg,: 5 mg,: 2.0 mg,: 0.50 mg,: 0.2 mg,: 0.02 mg,: 1.0 mg,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.45 mg,: 0 mg
DP031,Gado-gado,,,Sayuran,Olahan (Processed),,: 68.5 g,: 137 Kal,: 6.1 g,: 3.2 g,: 21.0 g,: 1.5 g,: 301 mg,: 135 mg,: 7.5 mg,,,,,,,: 1.1 g,: 3 mcg,,": 5,929 mcg",: 0.10 mg,: 1 mg
BP006,"Gadung, ubi, kukus",,,Umbi Berpati,Olahan (Processed),,: 77.4 g,: 88 Kal,: 0.6 g,: 0.3 g,: 20.9 g,: 0.8 g,: 26 mg,: 47 mg,: 0.4 mg,: 6 mg,: 584.0 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.4 mg,: 0.9 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.03 mg,: 0 mg
BR008,"Gadung, ubi, segar (Asiatic bitter yam, fresh)",Dioscorea hispida,,Umbi Berpati,Mentah (Raw),,: 74.4 g,: 100 Kal,: 0.9 g,: 0.3 g,: 23.5 g,: 0.9 g,: 79 mg,: 66 mg,: 0.9 mg,: 8 mg,: 687.2 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.5 mg,: 2.1 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.23 mg,: 2 mg
DR083,"Gambas (oyong), segar (Angled loofah, fresh)",Luffa acutangula,,Sayuran,Mentah (Raw),,: 94.5 g,: 19 Kal,: 0.8 g,: 0.2 g,: 4.1 g,: 0.4 g,: 19 mg,: 33 mg,: 0.9 mg,: 23 mg,: 109.1 mg,: 0.00 mg,: 0.1 mg,: 0.00 mg,: 0.4 mg,: 1.3 g,,: 17 mcg,: 380 mcg,: 0.03 mg,: 8 mg
ER028,Gandaria masak (Kundang),Bouea macrophylla,,Buah,Mentah (Raw),,: 80.8 g,: 68 Kal,: 0.7 g,: 0.1 g,: 18.0 g,: 0.4 g,: 9 mg,: 20 mg,: 1.0 mg,: 3 mg,: 129.0 mg,,,: 0.07 mg,: 0.7 mg,: 2.2 g,,: 329 mcg,": 1,020 mcg",: 0.03 mg,: 111 mg
BP007,"Ganyong, rebus",,,Umbi Berpati,Olahan (Processed),,: 74.1 g,: 100 Kal,: 0.8 g,: 0.2 g,: 23.8 g,: 1.1 g,: 15 mg,: 65 mg,: 0.9 mg,,,,,,,: 0.9 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.04 mg,: 6 mg
BR009,"Ganyong, segar (Canna, fresh)",Canna edulis,,Umbi Berpati,Mentah (Raw),,: 79.9 g,: 77 Kal,: 0.6 g,: 0.2 g,: 18.4 g,: 0.9 g,: 15 mg,: 67 mg,: 1.0 mg,,,,,,,: 0.8 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.10 mg,: 9 mg
ER029,"Gatep, segar (Chestnut, fresh)",Inocarpus fagifer,,Buah,Mentah (Raw),,: 52.7 g,: 191 Kal,: 4.5 g,: 1.5 g,: 39.7 g,: 1.6 g,: 186 mg,: 69 mg,: 3.2 mg,: 17 mg,: 403.3 mg,: 0.69 mg,: 1.3 mg,: 0.20 mg,: 1.8 mg,: 13.4 g,,: 51 mcg,,: 0.05 mg,
BP026,Gatot,,Jawa Timur,Umbi Berpati,Olahan (Processed),"Bahan dasar gaplek (singkong dijemur), direndam air kapur sirih , dikukus, biasanya ditaburi parutan kelapa yang ditambah gula pasir dan serutan gula merah.",: 12.8 g,: 347 Kal,: 1.3 g,: 0.7 g,: 83.8 g,: 1.4 g,: 78 mg,: 44 mg,: 17.1 mg,: 28 mg,: 242.0 mg,: 0.20 mg,: 0.7 mg,: 0.10 mg,: 0.4 mg,: 5.8 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
BP027,Geblek,,Yogyakarta,Umbi Berpati,Olahan (Processed),Makanan ringan berbentuk angka 8. Bahan dasar tepung tapioka /pati singkong,: 52.1 g,: 195 Kal,: 0.4 g,: 1.7 g,: 44.4 g,: 1.4 g,: 35 mg,: 13 mg,: 0.6 mg,: 353 mg,: 125.0 mg,: 0.30 mg,: 0.3 mg,: 0.00 mg,: 0.1 mg,: 3.6 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
BR010,"Gembili, ubi, segar (Lesser yam, fresh)",Dioscorea esculenta,,Umbi Berpati,Mentah (Raw),,: 66.4 g,: 131 Kal,: 1.1 g,: 0.2 g,: 31.3 g,: 1.0 g,: 14 mg,: 56 mg,: 0.6 mg,: 10 mg,: 200.0 mg,: 0.20 mg,: 0.3 mg,: 0.00 mg,: 0.9 mg,: 1.1 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.08 mg,: 4 mg
AP048,Gemblong,,,Serealia,Olahan (Processed),"Bahan dasar terdiri dari beras ketan, kelapa, gula merah",: 36.2 g,: 274 Kal,: 1.7 g,: 5.4 g,: 55.5 g,: 1.2 g,: 69 mg,: 55 mg,: 3.3 mg,,,,,,,: 2.2 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.00 mg,: 0 mg
AP049,Gendar goreng,,,Serealia,Olahan (Processed),Kerupuk dari nasi/beras,: 30.4 g,: 407 Kal,: 6.4 g,: 28.2 g,: 32.0 g,: 3.0 g,: 216 mg,: 62 mg,: 1.6 mg,,,,,: 0.00 mg,: 0.6 mg,: 0.1 g,: 0 mcg,,: 184 mcg,: 0.16 mg,: 0 mg
DR084,"Genjer, segar (Sawah lettuce, fresh)",Limnocharis flava,,Sayuran,Mentah (Raw),,: 90.0 g,: 35 Kal,: 1.7 g,: 0.2 g,: 7.7 g,: 0.4 g,: 62 mg,: 33 mg,: 2.1 mg,: 64 mg,: 905.8 mg,,,: 0.10 mg,: 1.1 mg,: 2.5 g,,,": 3,800 mcg",: 0.07 mg,: 54 mg
CP029,Geplak,,Yogyakarta,Kacang-Kacangan,Olahan (Processed),Parutan kelapa kasar dengan gula pasir,: 29.6 g,: 350 Kal,: 1.4 g,: 14.4 g,: 53.6 g,: 1.0 g,: 151 mg,: 43 mg,: 2.1 mg,,,,,: 0.02 mg,: 0.8 mg,: 1.8 g,: 0 mcg,,: 120 mcg,: 0.12 mg,: 0 mg
CP030,Geplak jahe,,Yogyakarta,Kacang-Kacangan,Olahan (Processed),Parutan kelapa kasar dengan gula pasir dan jahe,: 12.4 g,: 462 Kal,: 3.1 g,: 24.4 g,: 57.7 g,: 2.5 g,: 212 mg,: 161 mg,: 6.6 mg,,,,,: 0.00 mg,: 0.1 mg,: 3.3 g,: 0 mcg,,: 272 mcg,: 0.12 mg,: 0 mg
GP062,"Gete kuah asam, masakan",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 80.1 g,: 75 Kal,: 8.2 g,: 2.0 g,: 6.0 g,: 3.8 g,": 1,620 mg",: 880 mg,: 0.8 mg,: 260 mg,: 150.0 mg,: 0.10 mg,: 1.5 mg,,: 0.1 mg,,,,,,
BP028,Getuk goreng,,"Sokaraja, Purwokerto",Umbi Berpati,Olahan (Processed),Bahan dasar terdiri dari Singkong dan dibumbui gula kelapa,: 16.5 g,: 360 Kal,: 1.3 g,: 6.4 g,: 74.3 g,: 1.5 g,: 59 mg,: 81 mg,: 3.2 mg,,,,,,: 0.1 mg,: 0.8 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.21 mg,: 0 mg
EP003,Getuk pisang,,,Buah,Olahan (Processed),,: 63.7 g,: 144 Kal,: 1.1 g,: 0.4 g,: 34.1 g,: 0.7 g,: 48 mg,: 32 mg,: 1.0 mg,,,,,,,: 0.4 g,,,": 1,240 mcg",: 0.55 mg,: 0 mg
BP029,Getuk singkong,,,Umbi Berpati,Olahan (Processed),Singkong rebus yang ditumbuk dicampur kelapa dan gula merah,: 49.8 g,: 204 Kal,: 0.5 g,: 1.4 g,: 47.4 g,: 1.1 g,: 97 mg,: 52 mg,: 1.5 mg,,,,,,: 0.1 mg,: 0.8 g,: 0 mcg,,: 208 mcg,: 0.08 mg,: 0 mg
DP032,"Gudeg, sayur",,Jogja,Sayuran,Olahan (Processed),Bahan dasar terdiri dari nangka muda dan santan. Direbus dalam waktu yang lama,: 69.2 g,: 160 Kal,: 3.3 g,: 9.2 g,: 16.0 g,: 2.1 g,: 62 mg,: 55 mg,: 12.8 mg,,,,,,,: 2.3 g,: 0 mcg,,: 166 mcg,: 0.15 mg,: 0 mg
MP005,"Gula aren (Sugar, palm)",Arenga pinnata,,Konfeksioneri,Olahan (Processed),,: 7.0 g,: 368 Kal,: 0.0 g,: 0.0 g,: 92.0 g,: 1.0 g,: 75 mg,: 35 mg,: 3.0 mg,: 15 mg,: 390.4 mg,: 0.04 mg,: 26.4 mg,: 0.01 mg,: 0.5 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.00 mg,: 0 mg
MP006,Gula kelapa,,,Konfeksioneri,Olahan (Processed),,: 10.0 g,: 386 Kal,: 3.0 g,: 10.0 g,: 76.0 g,: 1.0 g,: 76 mg,: 37 mg,: 2.6 mg,: 2 mg,: 0.0 mg,: 0.00 mg,: 0.0 mg,: 0.34 mg,: 0.5 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.00 mg,: 0 mg
MP007,Gula putih (Sugar cane),Saccharum offisinarum,,Konfeksioneri,Olahan (Processed),,: 5.4 g,: 394 Kal,: 0.0 g,: 0.0 g,: 94.0 g,: 0.6 g,: 5 mg,: 1 mg,: 0.1 mg,: 1 mg,: 4.8 mg,: 0.00 mg,: 0.0 mg,: 0.00 mg,: 0.0 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.00 mg,: 0 mg
GP063,"Gulai asam keueung, masakan",,Aceh,Ikan/Kerang/Udang dll,Olahan (Processed),"Ikan yang dimasak dengan asam kanti, biasanya ikan kakap, ikan bandeng, tongkol, patin, dan kembung",: 86.0 g,: 52 Kal,: 10.0 g,: 0.5 g,: 1.8 g,: 1.7 g,: 62 mg,: 102 mg,: 0.3 mg,: 332 mg,: 141.0 mg,: 0.00 mg,: 1.0 mg,: 0.34 mg,,,,,,: 0.18 mg,
