Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
GP088,"Saboko saltan, masakan",,Timor Leste,Ikan/Kerang/Udang dll,Olahan (Processed),"Ikan saltan dibumbui dengan cabe, bawang, daun asam muda yang kemudian dibungkus dengan daun lontar dan dibakar",: 76.0 g,: 113 Kal,: 17.1 g,: 3.6 g,: 3.0 g,: 0.3 g,: 240 mg,: 60 mg,: 0.5 mg,: 40 mg,: 350.0 mg,: 0.20 mg,: 0.6 mg,,: 0.1 mg,,: 27 mcg,,,,
GP089,"Saboko sardin, masakan",,Timor Leste,Ikan/Kerang/Udang dll,Olahan (Processed),"Ikan sarden dibumbui dengan cabe, bawang, daun asam muda yang kemudian dibungkus dengan daun lontar dan dibakar",: 70.0 g,: 110 Kal,: 12.9 g,: 4.3 g,: 4.9 g,: 7.9 g,: 220 mg,: 520 mg,: 6.0 mg,: 200 mg,: 280.0 mg,: 0.20 mg,: 3.9 mg,,,,: 37 mcg,,,,
CR051,"Saga merah terkupas, kering (Red sandalwood, peeled)",Adenanthera pavonina,,Kacang-Kacangan,Mentah (Raw),,: 8.1 g,: 449 Kal,: 30.6 g,: 25.5 g,: 31.9 g,: 3.9 g,": 1,062 mg",: 161 mg,: 14.2 mg,: 66 mg,": 1,496.5 mg",: 0.07 mg,: 5.7 mg,: 1.50 mg,: 10.9 mg,: 3.5 g,,,: 107 mcg,: 0.09 mg,: 7 mg
BR018,"Sagu aren, kering (Sugar palm, dried)",Arenga pinnata,,Umbi Berpati,Mentah (Raw),,: 11.9 g,: 355 Kal,: 0.6 g,: 1.1 g,: 85.6 g,: 0.8 g,: 91 mg,: 167 mg,: 2.2 mg,: 2 mg,: 200.0 mg,: 0.00 mg,: 0.3 mg,: 0.10 mg,: 0.5 mg,: 0.3 g,,,: 0 mcg,: 0.04 mg,: 0 mg
BR019,"Sagu aren, segar (Sugar palm, fresh)",Arenga pinnata,,Umbi Berpati,Mentah (Raw),,: 42.5 g,: 231 Kal,: 0.6 g,: 0.2 g,: 56.6 g,: 0.1 g,: 20 mg,: 20 mg,: 0.1 mg,: 7 mg,: 0.0 mg,: 0.10 mg,: 0.1 mg,: 0.00 mg,: 0.0 mg,: 3.2 g,: 0 mcg,,: 0 mcg,: 0.20 mg,: 0 mg
BP057,Sagu forno,,Papua,Umbi Berpati,Olahan (Processed),"Kue kering. Nama lain sagu forna (nama balok cetakan) atau sagu lempeng (bentuk lempengan). Tepung sagu dihaluskan, dimasukkan ke dalam cetakan, dibakar, bagian tengah dilubangi diberi gula merah",: 31.5 g,: 291 Kal,: 0.5 g,: 4.0 g,: 63.4 g,: 0.6 g,: 10 mg,: 20 mg,: 0.8 mg,: 40 mg,: 50.0 mg,: 0.10 mg,: 0.2 mg,,,,: 0 mcg,: 0 mcg,: 0 mcg,,: 0 mg
BR020,"Sagu kasbi segar (Cassava  starch, fresh)",Manihot  esculenta,,Umbi Berpati,Mentah (Raw),,: 42.5 g,: 230 Kal,: 0.6 g,: 0.2 g,: 56.5 g,: 0.2 g,: 20 mg,: 1 mg,: 0.3 mg,: 100 mg,: 410.0 mg,: 0.10 mg,: 0.2 mg,: 0.00 mg,: 0.0 mg,: 3.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.10 mg,: 0 mg
BP058,Sagu Lemak (Kue Sagon),,Riau,Umbi Berpati,Olahan (Processed),"Bahan dasar terdiri dari Sagu, Kelapa, Telur",: 4.3 g,: 452 Kal,: 2.8 g,: 14.8 g,: 76.8 g,: 0.7 g,: 15 mg,: 39 mg,: 1.1 mg,: 182 mg,: 52.7 mg,: 0.04 mg,: 0.8 mg,: 0.04 mg,: 0.1 mg,: 1.1 g,,": 1,220 mcg",: 0 mcg,: 0.32 mg,: 0 mg
BR021,Sagu lempeng (Sago palm),Metroxylon sagu,,Umbi Berpati,Mentah (Raw),,: 13.5 g,: 347 Kal,: 0.9 g,: 0.3 g,: 85.2 g,: 0.1 g,: 30 mg,: 30 mg,: 0.2 mg,: 11 mg,: 0.0 mg,: 0.10 mg,: 0.1 mg,: 0.00 mg,: 0.0 mg,: 4.7 g,: 0 mcg,: 0 mcg,,: 0.30 mg,: 0 mg
BP059,Sagu manis,,,Umbi Berpati,Olahan (Processed),Sagu dipanggang + kelapa parut + gula (seperti kue bandros),: 32.6 g,: 287 Kal,: 0.5 g,: 3.9 g,: 62.4 g,: 0.6 g,: 8 mg,: 17 mg,: 0.7 mg,: 34 mg,: 42.0 mg,: 0.10 mg,: 0.2 mg,,,,: 0 mcg,: 0 mcg,: 0 mcg,,: 0 mg
